area,Typeoflocation,time,Weather,typeofvehicle,ageofvehicle,natureofaccidents,causeofaccidents,accidentvictimsage,eduofdriver,accordingtoResponsibilitiesofDriver,speed,roadconditions,roadfeature,typeofjunction,typeoftrafficcontrol,OwnerofTypeofVehiclesandTypeofLicence,Gender
Sneh nagar,near office complex,6am-9am,heavy rain,"car/jeep/taxi,buses(4 wheeler)",1-2year,rear end collision,fault of pedestrian,45-54years,upto 8th std,give improper signal,50-70,Kutcha Roads,4 Lanes or more with central divider,junction with >4 arms,uncontolled,owner of public commercial vehicle,female
Dwarka,open area,3am-6am,fine,other motor vehicles,6-8year,skiding,neglect of civic bodies,65 and above,above 10th std,followed too closely,>70,Kutcha Roads,3 Lanes or more without central Divider Median,manned rail crossing,uncontolled,owner of public commercial vehicle,female
Sneh nagar,near school/college,3am-6am,cloudy,3 wheeler,>10,hit and run,defect in condition of motor vehicle,<5years,above 10th std,other improper passsing,50-70,road under construction/repair,two lane,junction with >4 arms,stop sign,without licence,male
Pathardi fata,near or inside a village,6pm-9pm,light rain,"trucks ,tempos,tracto",>10,rear end collision,poor light,<5years,upto 8th std,passed on curve,>70,straight road,single lane,t junction,traffic light signal,others,female
Dwarka,open area,3pm-6pm,fine,"trucks ,tempos,tracto",4-6year,right turn collision,fault of driver,55-64years,9-10std,alcohol intake,<30,rutted/pot holes,3 Lanes or more without central Divider Median,t junction,uncontolled,regular licence,male
Adgaon,near hospital,3pm-6pm,cloudy,other motor vehicles,<1,head on collision,poor light,35-44years,above 10th std,cut in sharply after passing,>70,Wet road,two lane,v junction,uncontolled,regular licence,male
Pathardi fata,near school/college,6pm-9pm,heavy rain,other motor vehicles,6-8year,rear end collision,poor light,25-34years,above 10th std,passed on curve,50-70,Kutcha Roads,single lane,four arm junction,stop sign,regular licence,female
Sneh nagar,near school/college,6am-9am,heavy rain,3 wheeler,1-2year,right turn collision,defect in road condition,18-20years,not known,passed on hill,>70,Kutcha Roads,single lane,t junction,stop sign,others,female
Adgaon,near school/college,9am-12pm,light rain,3 wheeler,1-2year,head on collision,poor light,21-24years,9-10std,passed on curve,30-50,Kutcha Roads,3 Lanes or more without central Divider Median,manned rail crossing,traffic light signal,paid driver,male
Sneh nagar,near bus stop,3am-6am,light rain,2 wheeler,<1,skiding,defect in condition of motor vehicle,21-24years,not known,other improper passsing,>70,rutted/pot holes,two lane,t junction,flashing signal/blinker,paid driver,male
Sneh nagar,narrow bridge or culverts,3am-6am,cloudy,other motor vehicles,6-8year,hit and run,defect in condition of motor vehicle,15-17years,upto 8th std,alcohol intake,<30,road under construction/repair,single lane,round about junction,police controlled,owner of private vehicle,female
Sneh nagar,near a religious place,9pm-12am,fine,"trucks ,tempos,tracto",6-8year,rear end collision,defect in road condition,45-54years,above 10th std,passed on hill,50-70,incline road,3 Lanes or more without central Divider Median,v junction,stop sign,without licence,female
Dwarka,near school/college,12pm-3pm,light rain,2 wheeler,6-8year,overturning,defect in road condition,unknown age,not known,followed too closely,>70,incline road,3 Lanes or more without central Divider Median,t junction,flashing signal/blinker,without licence,female
Pathardi fata,in bazar,6pm-9pm,light rain,"car/jeep/taxi,buses(4 wheeler)",1-2year,collision brush/side swip,fault of pedestrian,15-17years,9-10std,excceding lawful speed,30-50,muddy/oily/slippery,two lane,v junction,uncontolled,learners licence,female
Adgaon,near petrol pump,6pm-9pm,heavy rain,"car/jeep/taxi,buses(4 wheeler)",4-6year,rear end collision,weather condition,10-14years,above 10th std,passed on hill,50-70,muddy/oily/slippery,4 Lanes or more with central divider,unmanned rail crossing,police controlled,owner of public commercial vehicle,female
Pathardi fata,open area,12pm-3pm,cloudy,"trucks ,tempos,tracto",4-6year,skiding,defect in road condition,35-44years,upto 8th std,excceding lawful speed,>70,road under construction/repair,two lane,round about junction,stop sign,others,male
Dwarka,near a recreation place/cinema,3pm-6pm,light rain,other motor vehicles,6-8year,head on collision,poor light,18-20years,not known,on wrong side of the road,<30,rutted/pot holes,3 Lanes or more without central Divider Median,junction with >4 arms,flashing signal/blinker,regular licence,female
Sneh nagar,narrow bridge or culverts,9pm-12am,cloudy,other motor vehicles,8-10year,rear end collision,defect in road condition,25-34years,upto 8th std,passed on curve,>70,speed breaker,two lane,unmanned rail crossing,stop sign,owner of private vehicle,female
Adgaon,near hospital,6am-9am,fine,2 wheeler,4-6year,collision brush/side swip,weather condition,21-24years,not known,give improper signal,<30,speed breaker,4 Lanes or more with central divider,four arm junction,police controlled,owner of public commercial vehicle,female
Sneh nagar,near a factory or indu. Area,9pm-12am,heavy rain,"car/jeep/taxi,buses(4 wheeler)",4-6year,collision brush/side swip,fault of pedestrian,<5years,not known,alcohol intake,50-70,rutted/pot holes,two lane,junction with >4 arms,traffic light signal,learners licence,male
Adgaon,open area,6pm-9pm,light rain,"car/jeep/taxi,buses(4 wheeler)",2-4year,rear end collision,neglect of civic bodies,45-54years,not known,failed to give signal,50-70,road under construction/repair,4 Lanes or more with central divider,staggered jucntion,police controlled,without licence,female
Pathardi fata,near bus stop,6am-9am,heavy rain,"car/jeep/taxi,buses(4 wheeler)",1-2year,collision brush/side swip,fault of driver,15-17years,upto 8th std,passed on hill,>70,speed breaker,single lane,round about junction,police controlled,without licence,male
Pathardi fata,open area,9am-12pm,cloudy,other motor vehicles,6-8year,right turn collision,poor light,15-17years,above 10th std,cut in sharply after passing,30-50,road under construction/repair,4 Lanes or more with central divider,t junction,police controlled,regular licence,female
Pathardi fata,open area,6am-9am,fine,2 wheeler,1-2year,overturning,fault of pedestrian,10-14years,9-10std,other improper passsing,<30,Surfaced Roads,4 Lanes or more with central divider,junction with >4 arms,flashing signal/blinker,owner of public commercial vehicle,female
Sneh nagar,near or inside a village,3am-6am,cloudy,"car/jeep/taxi,buses(4 wheeler)",>10,overturning,weather condition,unknown age,not known,excceding lawful speed,30-50,muddy/oily/slippery,two lane,manned rail crossing,police controlled,others,male
Pathardi fata,near or inside a village,9am-12pm,fine,2 wheeler,8-10year,collision brush/side swip,defect in condition of motor vehicle,21-24years,not known,did not give right of way to vehicle,>70,rutted/pot holes,3 Lanes or more without central Divider Median,manned rail crossing,stop sign,owner of private vehicle,female
Pathardi fata,near a factory or indu. Area,9am-12pm,cloudy,3 wheeler,1-2year,head on collision,fault of pedestrian,25-34years,9-10std,failed to give signal,50-70,speed breaker,4 Lanes or more with central divider,unmanned rail crossing,stop sign,regular licence,female
Dwarka,near bus stop,9am-12pm,heavy rain,other motor vehicles,>10,right turn collision,neglect of civic bodies,65 and above,9-10std,followed too closely,50-70,incline road,single lane,t junction,police controlled,without licence,male
Dwarka,open area,9pm-12am,fine,"car/jeep/taxi,buses(4 wheeler)",4-6year,skiding,defect in road condition,unknown age,above 10th std,failed to give signal,50-70,Wet road,single lane,manned rail crossing,police controlled,regular licence,female
Pathardi fata,in bazar,3pm-6pm,fine,"trucks ,tempos,tracto",1-2year,skiding,poor light,65 and above,upto 8th std,failed to give signal,30-50,Kutcha Roads,3 Lanes or more without central Divider Median,junction with >4 arms,police controlled,owner of private vehicle,female
Adgaon,near petrol pump,6am-9am,fine,2 wheeler,1-2year,collision brush/side swip,weather condition,10-14years,not known,other improper passsing,30-50,road under construction/repair,4 Lanes or more with central divider,unmanned rail crossing,traffic light signal,learners licence,male
Dwarka,residential area,9pm-12am,fine,"car/jeep/taxi,buses(4 wheeler)",8-10year,hit and run,poor light,15-17years,not known,cut in sharply after passing,<30,incline road,4 Lanes or more with central divider,manned rail crossing,uncontolled,without licence,female
Adgaon,near a recreation place/cinema,3am-6am,cloudy,"trucks ,tempos,tracto",2-4year,head on collision,fault of driver,25-34years,9-10std,passed on hill,30-50,straight road,single lane,junction with >4 arms,police controlled,owner of private vehicle,female
Adgaon,in bazar,3am-6am,light rain,other motor vehicles,2-4year,collision brush/side swip,neglect of civic bodies,21-24years,not known,excceding lawful speed,>70,Surfaced Roads,4 Lanes or more with central divider,manned rail crossing,traffic light signal,without licence,male
Sneh nagar,at pedestrian crossing,9pm-12am,fine,2 wheeler,4-6year,skiding,defect in condition of motor vehicle,55-64years,above 10th std,alcohol intake,30-50,road under construction/repair,single lane,staggered jucntion,flashing signal/blinker,others,female
Dwarka,near a factory or indu. Area,6pm-9pm,light rain,"trucks ,tempos,tracto",2-4year,hit and run,defect in condition of motor vehicle,<5years,not known,cut in sharply after passing,30-50,Wet road,4 Lanes or more with central divider,manned rail crossing,police controlled,without licence,female
Dwarka,near a recreation place/cinema,6pm-9pm,heavy rain,2 wheeler,8-10year,hit and run,weather condition,18-20years,above 10th std,followed too closely,<30,straight road,4 Lanes or more with central divider,four arm junction,police controlled,paid driver,male
Dwarka,near office complex,9am-12pm,heavy rain,"car/jeep/taxi,buses(4 wheeler)",8-10year,collision brush/side swip,defect in road condition,65 and above,upto 8th std,on wrong side of the road,30-50,rutted/pot holes,3 Lanes or more without central Divider Median,four arm junction,stop sign,learners licence,female
Sneh nagar,at pedestrian crossing,12am-3am,light rain,"car/jeep/taxi,buses(4 wheeler)",>10,rear end collision,defect in road condition,55-64years,above 10th std,other improper passsing,>70,Kutcha Roads,3 Lanes or more without central Divider Median,round about junction,stop sign,others,male
Adgaon,near school/college,3pm-6pm,cloudy,3 wheeler,<1,collision brush/side swip,fault of driver,21-24years,9-10std,excceding lawful speed,>70,Surfaced Roads,4 Lanes or more with central divider,unmanned rail crossing,stop sign,learners licence,female
Dwarka,near bus stop,3pm-6pm,heavy rain,3 wheeler,1-2year,hit and run,neglect of civic bodies,35-44years,upto 8th std,followed too closely,<30,Kutcha Roads,4 Lanes or more with central divider,unmanned rail crossing,police controlled,regular licence,female
Sneh nagar,in bazar,9pm-12am,cloudy,"car/jeep/taxi,buses(4 wheeler)",4-6year,hit and run,fault of driver,35-44years,upto 8th std,did not give right of way to pedestrian,50-70,Surfaced Roads,3 Lanes or more without central Divider Median,t junction,flashing signal/blinker,regular licence,female
Sneh nagar,near or inside a village,9pm-12am,heavy rain,other motor vehicles,1-2year,right turn collision,poor light,55-64years,above 10th std,on wrong side of the road,>70,road under construction/repair,two lane,four arm junction,traffic light signal,regular licence,male
Sneh nagar,near a recreation place/cinema,9pm-12am,heavy rain,other motor vehicles,4-6year,rear end collision,weather condition,65 and above,not known,excceding lawful speed,50-70,road under construction/repair,4 Lanes or more with central divider,t junction,flashing signal/blinker,others,female
Sneh nagar,residential area,12am-3am,light rain,2 wheeler,8-10year,head on collision,fault of driver,45-54years,not known,failed to give signal,30-50,road under construction/repair,single lane,junction with >4 arms,traffic light signal,others,male
Sneh nagar,residential area,6pm-9pm,cloudy,"car/jeep/taxi,buses(4 wheeler)",>10,collision brush/side swip,fault of pedestrian,<5years,upto 8th std,alcohol intake,<30,road under construction/repair,4 Lanes or more with central divider,t junction,flashing signal/blinker,learners licence,male
Sneh nagar,at pedestrian crossing,9am-12pm,light rain,other motor vehicles,6-8year,skiding,defect in condition of motor vehicle,35-44years,above 10th std,alcohol intake,30-50,incline road,3 Lanes or more without central Divider Median,four arm junction,stop sign,others,female
Sneh nagar,near a recreation place/cinema,3pm-6pm,heavy rain,2 wheeler,2-4year,right turn collision,defect in condition of motor vehicle,6-9years,not known,give improper signal,>70,incline road,3 Lanes or more without central Divider Median,staggered jucntion,uncontolled,others,male
Pathardi fata,near a religious place,3am-6am,light rain,other motor vehicles,<1,right turn collision,weather condition,<5years,not known,on wrong side of the road,50-70,straight road,3 Lanes or more without central Divider Median,junction with >4 arms,uncontolled,without licence,female
Pathardi fata,near a religious place,3pm-6pm,cloudy,3 wheeler,1-2year,hit and run,weather condition,35-44years,upto 8th std,did not give right of way to pedestrian,30-50,muddy/oily/slippery,3 Lanes or more without central Divider Median,manned rail crossing,flashing signal/blinker,regular licence,female
Dwarka,near school/college,3am-6am,light rain,other motor vehicles,2-4year,right turn collision,weather condition,65 and above,above 10th std,on wrong side of the road,50-70,Surfaced Roads,3 Lanes or more without central Divider Median,four arm junction,stop sign,owner of public commercial vehicle,female
Pathardi fata,near a factory or indu. Area,9pm-12am,cloudy,other motor vehicles,<1,skiding,defect in condition of motor vehicle,15-17years,9-10std,passed on curve,>70,muddy/oily/slippery,3 Lanes or more without central Divider Median,v junction,traffic light signal,regular licence,female
Pathardi fata,near a factory or indu. Area,12am-3am,light rain,3 wheeler,>10,rear end collision,defect in road condition,35-44years,upto 8th std,other improper passsing,>70,rutted/pot holes,two lane,junction with >4 arms,police controlled,regular licence,female
Adgaon,near a recreation place/cinema,12am-3am,fine,"car/jeep/taxi,buses(4 wheeler)",2-4year,collision brush/side swip,weather condition,18-20years,9-10std,on wrong side of the road,30-50,Surfaced Roads,single lane,t junction,flashing signal/blinker,owner of private vehicle,male
Pathardi fata,near a religious place,12am-3am,heavy rain,"trucks ,tempos,tracto",4-6year,skiding,poor light,25-34years,not known,give improper signal,<30,road under construction/repair,3 Lanes or more without central Divider Median,four arm junction,uncontolled,regular licence,female
Sneh nagar,near office complex,9am-12pm,light rain,3 wheeler,<1,head on collision,poor light,65 and above,upto 8th std,other improper passsing,30-50,road under construction/repair,single lane,manned rail crossing,traffic light signal,paid driver,male
Sneh nagar,narrow bridge or culverts,12pm-3pm,heavy rain,3 wheeler,2-4year,head on collision,fault of driver,45-54years,not known,alcohol intake,<30,muddy/oily/slippery,3 Lanes or more without central Divider Median,round about junction,uncontolled,without licence,male
Sneh nagar,near a factory or indu. Area,6pm-9pm,light rain,other motor vehicles,>10,right turn collision,fault of driver,21-24years,upto 8th std,did not give right of way to vehicle,50-70,incline road,3 Lanes or more without central Divider Median,t junction,uncontolled,learners licence,male
Sneh nagar,near or inside a village,6am-9am,fine,2 wheeler,8-10year,collision brush/side swip,defect in road condition,65 and above,not known,give improper signal,<30,incline road,two lane,t junction,traffic light signal,learners licence,male
Dwarka,open area,6pm-9pm,cloudy,2 wheeler,<1,head on collision,defect in condition of motor vehicle,45-54years,not known,cut in sharply after passing,30-50,muddy/oily/slippery,two lane,v junction,flashing signal/blinker,owner of private vehicle,male
Sneh nagar,at pedestrian crossing,3am-6am,light rain,other motor vehicles,1-2year,overturning,weather condition,unknown age,upto 8th std,give improper signal,50-70,rutted/pot holes,single lane,staggered jucntion,traffic light signal,learners licence,female
Pathardi fata,near school/college,9am-12pm,heavy rain,3 wheeler,<1,rear end collision,poor light,25-34years,not known,passed on curve,50-70,speed breaker,4 Lanes or more with central divider,round about junction,traffic light signal,without licence,female
Pathardi fata,open area,3am-6am,light rain,2 wheeler,8-10year,rear end collision,defect in road condition,15-17years,not known,did not give right of way to vehicle,>70,speed breaker,two lane,unmanned rail crossing,police controlled,learners licence,male
Pathardi fata,in bazar,6am-9am,fine,3 wheeler,2-4year,skiding,defect in road condition,unknown age,not known,passed on hill,50-70,road under construction/repair,single lane,unmanned rail crossing,traffic light signal,others,male
Sneh nagar,at pedestrian crossing,12pm-3pm,light rain,other motor vehicles,2-4year,hit and run,fault of pedestrian,unknown age,9-10std,cut in sharply after passing,30-50,Kutcha Roads,single lane,t junction,uncontolled,others,male
Pathardi fata,in bazar,6am-9am,light rain,3 wheeler,<1,rear end collision,weather condition,55-64years,above 10th std,followed too closely,<30,Wet road,3 Lanes or more without central Divider Median,staggered jucntion,flashing signal/blinker,owner of private vehicle,male
Sneh nagar,near office complex,6am-9am,cloudy,3 wheeler,>10,head on collision,fault of driver,6-9years,above 10th std,did not give right of way to pedestrian,30-50,muddy/oily/slippery,4 Lanes or more with central divider,unmanned rail crossing,stop sign,learners licence,female
Adgaon,near school/college,6am-9am,light rain,other motor vehicles,4-6year,collision brush/side swip,poor light,15-17years,upto 8th std,on wrong side of the road,50-70,speed breaker,single lane,junction with >4 arms,stop sign,owner of private vehicle,female
Pathardi fata,near school/college,6am-9am,light rain,"trucks ,tempos,tracto",>10,skiding,defect in condition of motor vehicle,55-64years,not known,followed too closely,50-70,Wet road,3 Lanes or more without central Divider Median,manned rail crossing,traffic light signal,without licence,male
Dwarka,near office complex,3am-6am,cloudy,other motor vehicles,>10,skiding,fault of pedestrian,10-14years,upto 8th std,did not give right of way to pedestrian,30-50,Kutcha Roads,two lane,unmanned rail crossing,traffic light signal,learners licence,male
Pathardi fata,near or inside a village,12pm-3pm,light rain,2 wheeler,4-6year,rear end collision,weather condition,<5years,upto 8th std,alcohol intake,30-50,speed breaker,single lane,staggered jucntion,flashing signal/blinker,paid driver,male
Pathardi fata,narrow bridge or culverts,9pm-12am,cloudy,"trucks ,tempos,tracto",4-6year,skiding,fault of pedestrian,35-44years,9-10std,followed too closely,50-70,road under construction/repair,3 Lanes or more without central Divider Median,manned rail crossing,stop sign,owner of public commercial vehicle,male
Pathardi fata,narrow bridge or culverts,9pm-12am,fine,"trucks ,tempos,tracto",<1,rear end collision,fault of pedestrian,65 and above,above 10th std,passed on curve,50-70,Wet road,two lane,staggered jucntion,stop sign,without licence,male
Adgaon,near a religious place,6am-9am,heavy rain,"trucks ,tempos,tracto",8-10year,hit and run,defect in road condition,15-17years,upto 8th std,excceding lawful speed,>70,Wet road,two lane,junction with >4 arms,police controlled,others,female
Pathardi fata,near hospital,3am-6am,cloudy,"trucks ,tempos,tracto",2-4year,rear end collision,weather condition,55-64years,9-10std,other improper passsing,>70,rutted/pot holes,3 Lanes or more without central Divider Median,manned rail crossing,police controlled,learners licence,female
Dwarka,near hospital,6pm-9pm,cloudy,2 wheeler,2-4year,right turn collision,defect in road condition,35-44years,above 10th std,other improper passsing,30-50,muddy/oily/slippery,single lane,junction with >4 arms,uncontolled,others,male
Sneh nagar,near petrol pump,3pm-6pm,cloudy,other motor vehicles,8-10year,skiding,neglect of civic bodies,6-9years,not known,passed on curve,>70,road under construction/repair,3 Lanes or more without central Divider Median,v junction,traffic light signal,owner of public commercial vehicle,female
Pathardi fata,near school/college,3am-6am,cloudy,2 wheeler,1-2year,overturning,fault of driver,65 and above,above 10th std,did not give right of way to pedestrian,<30,muddy/oily/slippery,3 Lanes or more without central Divider Median,t junction,uncontolled,others,female
Panchvati,in bazar,6am-9am,fine,other motor vehicles,4-6year,overturning,weather condition,10-14years,9-10std,other improper passsing,30-50,rutted/pot holes,two lane,staggered jucntion,flashing signal/blinker,without licence,male
Satpur Colony,near a factory or indu. Area,9pm-12am,cloudy,3 wheeler,8-10year,overturning,defect in condition of motor vehicle,18-20years,not known,excceding lawful speed,>70,muddy/oily/slippery,4 Lanes or more with central divider,unmanned rail crossing,traffic light signal,owner of private vehicle,female
Satpur Colony,near a factory or indu. Area,3am-6am,cloudy,3 wheeler,8-10year,collision brush/side swip,defect in road condition,35-44years,not known,alcohol intake,30-50,straight road,4 Lanes or more with central divider,v junction,traffic light signal,paid driver,female
Indira nagar,near a recreation place/cinema,3am-6am,light rain,"trucks ,tempos,tracto",>10,rear end collision,neglect of civic bodies,unknown age,above 10th std,passed on hill,30-50,Wet road,4 Lanes or more with central divider,unmanned rail crossing,stop sign,without licence,male
Panchvati,near a recreation place/cinema,6pm-9pm,light rain,3 wheeler,2-4year,collision brush/side swip,neglect of civic bodies,10-14years,not known,give improper signal,50-70,straight road,two lane,unmanned rail crossing,stop sign,without licence,male
Ambad Gaon,residential area,6am-9am,heavy rain,3 wheeler,>10,right turn collision,fault of driver,10-14years,not known,give improper signal,>70,straight road,3 Lanes or more without central Divider Median,t junction,uncontolled,others,male
Indira nagar,near office complex,12pm-3pm,heavy rain,2 wheeler,8-10year,rear end collision,fault of pedestrian,55-64years,9-10std,failed to give signal,30-50,speed breaker,single lane,manned rail crossing,uncontolled,learners licence,male
Nasik road,near petrol pump,9am-12pm,heavy rain,2 wheeler,1-2year,rear end collision,neglect of civic bodies,45-54years,9-10std,passed on curve,30-50,road under construction/repair,3 Lanes or more without central Divider Median,unmanned rail crossing,stop sign,others,female
Satpur Colony,near a factory or indu. Area,6pm-9pm,fine,other motor vehicles,4-6year,right turn collision,poor light,25-34years,9-10std,did not give right of way to vehicle,30-50,speed breaker,4 Lanes or more with central divider,v junction,stop sign,without licence,female
Nasik road,at pedestrian crossing,6pm-9pm,light rain,other motor vehicles,8-10year,head on collision,defect in condition of motor vehicle,18-20years,not known,excceding lawful speed,50-70,rutted/pot holes,3 Lanes or more without central Divider Median,round about junction,uncontolled,owner of public commercial vehicle,female
Ambad Gaon,near a religious place,3pm-6pm,heavy rain,3 wheeler,2-4year,collision brush/side swip,fault of pedestrian,<5years,upto 8th std,give improper signal,>70,Kutcha Roads,4 Lanes or more with central divider,staggered jucntion,flashing signal/blinker,owner of public commercial vehicle,female
Indira nagar,at pedestrian crossing,9pm-12am,heavy rain,3 wheeler,6-8year,overturning,poor light,55-64years,upto 8th std,other improper passsing,50-70,rutted/pot holes,single lane,round about junction,uncontolled,regular licence,male
Nasik road,near hospital,12pm-3pm,fine,2 wheeler,8-10year,hit and run,weather condition,25-34years,9-10std,on wrong side of the road,50-70,Surfaced Roads,4 Lanes or more with central divider,staggered jucntion,uncontolled,without licence,female
Panchvati,near or inside a village,9am-12pm,light rain,"trucks ,tempos,tracto",6-8year,rear end collision,fault of driver,<5years,not known,alcohol intake,30-50,straight road,4 Lanes or more with central divider,manned rail crossing,stop sign,paid driver,male
Satpur Colony,near petrol pump,6am-9am,fine,"car/jeep/taxi,buses(4 wheeler)",>10,right turn collision,neglect of civic bodies,55-64years,above 10th std,alcohol intake,30-50,Wet road,3 Lanes or more without central Divider Median,unmanned rail crossing,traffic light signal,owner of private vehicle,female
Satpur Colony,residential area,3am-6am,light rain,"trucks ,tempos,tracto",4-6year,head on collision,fault of pedestrian,55-64years,not known,passed on curve,>70,straight road,two lane,unmanned rail crossing,stop sign,others,female
Nasik road,near a factory or indu. Area,9pm-12am,light rain,other motor vehicles,8-10year,hit and run,defect in road condition,21-24years,upto 8th std,failed to give signal,<30,muddy/oily/slippery,3 Lanes or more without central Divider Median,junction with >4 arms,uncontolled,regular licence,female
Ambad Gaon,near petrol pump,12am-3am,fine,other motor vehicles,6-8year,rear end collision,defect in condition of motor vehicle,18-20years,above 10th std,other improper passsing,>70,straight road,two lane,v junction,stop sign,others,male
Panchvati,near petrol pump,12am-3am,fine,3 wheeler,4-6year,rear end collision,fault of pedestrian,45-54years,not known,did not give right of way to pedestrian,>70,muddy/oily/slippery,single lane,four arm junction,traffic light signal,paid driver,female
Nasik road,near a factory or indu. Area,3pm-6pm,heavy rain,"car/jeep/taxi,buses(4 wheeler)",2-4year,right turn collision,fault of driver,6-9years,not known,followed too closely,<30,incline road,3 Lanes or more without central Divider Median,four arm junction,uncontolled,owner of public commercial vehicle,male
