area,Typeoflocation,time,Weather,typeofvehicle,ageofvehicle,natureofaccidents,causeofaccidents,accidentvictimsage,eduofdriver,accordingtoResponsibilitiesofDriver,speed,roadconditions,roadfeature,typeofjunction,typeoftrafficcontrol,OwnerofTypeofVehiclesandTypeofLicence,Gender
Navale bridge,open area,12am-3am,heavy rain,"trucks ,tempos,tracto",>10,rear end collision,neglect of civic bodies,21-24years,upto 8th std,passed on hill,>70,muddy/oily/slippery,4 Lanes or more with central divider,four arm junction,traffic light signal,learners licence,male
Pimple Saudagar,near bus stop,3pm-6pm,cloudy,"car/jeep/taxi,buses(4 wheeler)",4-6year,rear end collision,fault of pedestrian,65 and above,not known,failed to give signal,30-50,road under construction/repair,single lane,round about junction,police controlled,regular licence,male
Pimple Saudagar,residential area,6am-9am,heavy rain,"trucks ,tempos,tracto",>10,right turn collision,fault of driver,21-24years,not known,did not give right of way to vehicle,>70,road under construction/repair,two lane,four arm junction,uncontolled,owner of private vehicle,female
Visharant Wadi,near or inside a village,6am-9am,cloudy,3 wheeler,6-8year,overturning,defect in condition of motor vehicle,45-54years,9-10std,alcohol intake,50-70,road under construction/repair,single lane,four arm junction,flashing signal/blinker,without licence,male
Wadgaon Bridge,near petrol pump,9am-12pm,fine,other motor vehicles,>10,collision brush/side swip,weather condition,15-17years,not known,other improper passsing,30-50,Wet road,single lane,staggered jucntion,police controlled,regular licence,female
Visharant Wadi,near a factory or indu. Area,6am-9am,cloudy,other motor vehicles,<1,collision brush/side swip,defect in road condition,unknown age,9-10std,followed too closely,<30,road under construction/repair,3 Lanes or more without central Divider Median,four arm junction,flashing signal/blinker,owner of private vehicle,female
Wadgaon Bridge,near or inside a village,3am-6am,fine,"trucks ,tempos,tracto",4-6year,rear end collision,neglect of civic bodies,18-20years,above 10th std,did not give right of way to pedestrian,50-70,straight road,two lane,v junction,flashing signal/blinker,others,female
Navale bridge,near a religious place,9am-12pm,heavy rain,2 wheeler,1-2year,collision brush/side swip,fault of driver,25-34years,not known,excceding lawful speed,<30,rutted/pot holes,two lane,v junction,stop sign,others,female
Wadgaon Bridge,open area,12pm-3pm,heavy rain,2 wheeler,8-10year,hit and run,weather condition,45-54years,not known,did not give right of way to vehicle,<30,rutted/pot holes,3 Lanes or more without central Divider Median,t junction,stop sign,without licence,male
Pimple Saudagar,near a recreation place/cinema,9pm-12am,cloudy,2 wheeler,4-6year,head on collision,defect in road condition,6-9years,above 10th std,followed too closely,>70,Wet road,two lane,junction with >4 arms,stop sign,learners licence,female
Navale bridge,near a recreation place/cinema,9am-12pm,heavy rain,"car/jeep/taxi,buses(4 wheeler)",1-2year,collision brush/side swip,fault of pedestrian,6-9years,not known,did not give right of way to pedestrian,30-50,road under construction/repair,4 Lanes or more with central divider,t junction,police controlled,paid driver,female
Navale bridge,narrow bridge or culverts,9pm-12am,heavy rain,3 wheeler,>10,overturning,neglect of civic bodies,21-24years,not known,cut in sharply after passing,30-50,Kutcha Roads,4 Lanes or more with central divider,round about junction,flashing signal/blinker,paid driver,female
Wadgaon Bridge,residential area,6pm-9pm,cloudy,"trucks ,tempos,tracto",>10,overturning,fault of driver,15-17years,upto 8th std,alcohol intake,50-70,Wet road,two lane,staggered jucntion,police controlled,learners licence,male
Wadgaon Bridge,at pedestrian crossing,6pm-9pm,fine,2 wheeler,4-6year,skiding,neglect of civic bodies,55-64years,upto 8th std,on wrong side of the road,30-50,speed breaker,4 Lanes or more with central divider,unmanned rail crossing,police controlled,owner of public commercial vehicle,female
Wadgaon Bridge,near a recreation place/cinema,6pm-9pm,light rain,"car/jeep/taxi,buses(4 wheeler)",8-10year,head on collision,poor light,21-24years,upto 8th std,passed on hill,<30,Kutcha Roads,single lane,round about junction,stop sign,regular licence,male
Pimple Saudagar,at pedestrian crossing,6am-9am,heavy rain,other motor vehicles,>10,collision brush/side swip,poor light,15-17years,9-10std,passed on curve,>70,speed breaker,two lane,four arm junction,flashing signal/blinker,owner of private vehicle,male
Pimple Saudagar,near school/college,9am-12pm,fine,other motor vehicles,6-8year,head on collision,defect in road condition,55-64years,9-10std,did not give right of way to vehicle,<30,Surfaced Roads,3 Lanes or more without central Divider Median,t junction,stop sign,learners licence,female
Wadgaon Bridge,near or inside a village,3am-6am,light rain,"trucks ,tempos,tracto",>10,head on collision,defect in condition of motor vehicle,55-64years,9-10std,other improper passsing,50-70,Wet road,two lane,manned rail crossing,traffic light signal,others,male
Visharant Wadi,near school/college,6am-9am,fine,"trucks ,tempos,tracto",<1,right turn collision,weather condition,10-14years,not known,excceding lawful speed,50-70,straight road,4 Lanes or more with central divider,t junction,flashing signal/blinker,learners licence,male
Navale bridge,near school/college,6pm-9pm,cloudy,other motor vehicles,2-4year,collision brush/side swip,defect in road condition,45-54years,9-10std,alcohol intake,30-50,Wet road,4 Lanes or more with central divider,staggered jucntion,police controlled,without licence,female
Navale bridge,narrow bridge or culverts,9am-12pm,fine,"car/jeep/taxi,buses(4 wheeler)",2-4year,hit and run,weather condition,6-9years,upto 8th std,did not give right of way to pedestrian,<30,incline road,two lane,v junction,traffic light signal,owner of public commercial vehicle,male
Pimple Saudagar,near a recreation place/cinema,3am-6am,fine,"car/jeep/taxi,buses(4 wheeler)",1-2year,right turn collision,poor light,10-14years,9-10std,passed on curve,30-50,Kutcha Roads,3 Lanes or more without central Divider Median,staggered jucntion,stop sign,without licence,male
Wadgaon Bridge,near or inside a village,12pm-3pm,light rain,other motor vehicles,4-6year,hit and run,weather condition,35-44years,upto 8th std,passed on hill,50-70,muddy/oily/slippery,two lane,unmanned rail crossing,traffic light signal,paid driver,male
Wadgaon Bridge,near school/college,3am-6am,cloudy,"car/jeep/taxi,buses(4 wheeler)",8-10year,right turn collision,defect in condition of motor vehicle,15-17years,not known,give improper signal,<30,Kutcha Roads,two lane,four arm junction,uncontolled,owner of private vehicle,male
Visharant Wadi,open area,12pm-3pm,light rain,3 wheeler,2-4year,head on collision,neglect of civic bodies,15-17years,upto 8th std,passed on curve,>70,Kutcha Roads,single lane,t junction,police controlled,learners licence,male
Pimple Saudagar,near a factory or indu. Area,9am-12pm,light rain,other motor vehicles,1-2year,head on collision,fault of driver,6-9years,upto 8th std,give improper signal,<30,rutted/pot holes,single lane,v junction,uncontolled,regular licence,male
Wadgaon Bridge,near a recreation place/cinema,3am-6am,cloudy,3 wheeler,8-10year,head on collision,weather condition,18-20years,not known,give improper signal,50-70,rutted/pot holes,single lane,staggered jucntion,stop sign,paid driver,male
Visharant Wadi,open area,6am-9am,light rain,"car/jeep/taxi,buses(4 wheeler)",>10,right turn collision,weather condition,55-64years,upto 8th std,excceding lawful speed,>70,Wet road,single lane,staggered jucntion,traffic light signal,paid driver,male
Wadgaon Bridge,residential area,12pm-3pm,cloudy,2 wheeler,>10,overturning,neglect of civic bodies,15-17years,above 10th std,excceding lawful speed,<30,rutted/pot holes,single lane,four arm junction,flashing signal/blinker,others,male
Wadgaon Bridge,near office complex,6am-9am,cloudy,"car/jeep/taxi,buses(4 wheeler)",4-6year,overturning,weather condition,10-14years,not known,excceding lawful speed,>70,Surfaced Roads,single lane,manned rail crossing,stop sign,paid driver,male
Wadgaon Bridge,in bazar,9pm-12am,light rain,"car/jeep/taxi,buses(4 wheeler)",8-10year,overturning,fault of driver,55-64years,9-10std,did not give right of way to pedestrian,30-50,incline road,4 Lanes or more with central divider,manned rail crossing,traffic light signal,without licence,female
Navale bridge,at pedestrian crossing,6am-9am,light rain,3 wheeler,8-10year,head on collision,fault of driver,18-20years,not known,passed on hill,<30,road under construction/repair,two lane,four arm junction,traffic light signal,learners licence,female
Wadgaon Bridge,near bus stop,12pm-3pm,fine,3 wheeler,>10,collision brush/side swip,fault of pedestrian,10-14years,9-10std,failed to give signal,>70,muddy/oily/slippery,4 Lanes or more with central divider,manned rail crossing,traffic light signal,paid driver,male
Sangamvadi,near office complex,12am-3am,cloudy,"car/jeep/taxi,buses(4 wheeler)",>10,right turn collision,neglect of civic bodies,65 and above,not known,did not give right of way to vehicle,30-50,straight road,4 Lanes or more with central divider,unmanned rail crossing,police controlled,regular licence,female
Pimple Saudagar,near a factory or indu. Area,3am-6am,heavy rain,2 wheeler,2-4year,right turn collision,defect in road condition,45-54years,not known,passed on curve,>70,muddy/oily/slippery,single lane,round about junction,stop sign,learners licence,male
Visharant Wadi,at pedestrian crossing,3pm-6pm,fine,"trucks ,tempos,tracto",2-4year,rear end collision,fault of driver,25-34years,9-10std,did not give right of way to pedestrian,30-50,Kutcha Roads,3 Lanes or more without central Divider Median,round about junction,police controlled,others,male
Visharant Wadi,in bazar,12pm-3pm,heavy rain,2 wheeler,2-4year,skiding,poor light,15-17years,above 10th std,passed on hill,30-50,rutted/pot holes,single lane,four arm junction,traffic light signal,regular licence,female
Sangamvadi,near or inside a village,6am-9am,cloudy,"car/jeep/taxi,buses(4 wheeler)",6-8year,skiding,poor light,65 and above,9-10std,did not give right of way to vehicle,30-50,Wet road,two lane,manned rail crossing,flashing signal/blinker,without licence,female
Pimple Saudagar,near a recreation place/cinema,6pm-9pm,light rain,other motor vehicles,6-8year,rear end collision,fault of pedestrian,18-20years,9-10std,followed too closely,30-50,Kutcha Roads,4 Lanes or more with central divider,manned rail crossing,traffic light signal,others,female
Pimple Saudagar,near petrol pump,6am-9am,fine,"car/jeep/taxi,buses(4 wheeler)",6-8year,collision brush/side swip,defect in condition of motor vehicle,<5years,not known,did not give right of way to pedestrian,<30,road under construction/repair,3 Lanes or more without central Divider Median,unmanned rail crossing,stop sign,others,male
Visharant Wadi,open area,6am-9am,light rain,"trucks ,tempos,tracto",4-6year,right turn collision,poor light,35-44years,not known,did not give right of way to pedestrian,50-70,Kutcha Roads,3 Lanes or more without central Divider Median,staggered jucntion,stop sign,owner of public commercial vehicle,female
Wadgaon Bridge,near office complex,12am-3am,heavy rain,"trucks ,tempos,tracto",<1,skiding,defect in condition of motor vehicle,6-9years,above 10th std,cut in sharply after passing,50-70,Kutcha Roads,two lane,manned rail crossing,traffic light signal,owner of private vehicle,female
Sangamvadi,at pedestrian crossing,12pm-3pm,heavy rain,3 wheeler,1-2year,collision brush/side swip,fault of driver,<5years,not known,followed too closely,30-50,straight road,single lane,round about junction,flashing signal/blinker,regular licence,female
Pimple Saudagar,near a factory or indu. Area,3pm-6pm,fine,3 wheeler,1-2year,head on collision,fault of driver,10-14years,upto 8th std,other improper passsing,30-50,Kutcha Roads,two lane,v junction,uncontolled,learners licence,female
Visharant Wadi,near a factory or indu. Area,12am-3am,light rain,other motor vehicles,>10,head on collision,neglect of civic bodies,unknown age,upto 8th std,other improper passsing,<30,Wet road,4 Lanes or more with central divider,junction with >4 arms,uncontolled,without licence,male
Wadgaon Bridge,at pedestrian crossing,9am-12pm,light rain,3 wheeler,8-10year,skiding,weather condition,65 and above,upto 8th std,did not give right of way to vehicle,<30,rutted/pot holes,two lane,staggered jucntion,flashing signal/blinker,owner of private vehicle,male
Wadgaon Bridge,near petrol pump,9am-12pm,fine,other motor vehicles,<1,right turn collision,fault of driver,21-24years,not known,passed on hill,50-70,muddy/oily/slippery,4 Lanes or more with central divider,manned rail crossing,uncontolled,others,male
Wadgaon Bridge,near or inside a village,6am-9am,light rain,2 wheeler,6-8year,overturning,fault of pedestrian,25-34years,upto 8th std,alcohol intake,50-70,speed breaker,3 Lanes or more without central Divider Median,t junction,police controlled,without licence,female
Sangamvadi,near hospital,6am-9am,cloudy,3 wheeler,2-4year,overturning,weather condition,15-17years,upto 8th std,alcohol intake,50-70,speed breaker,4 Lanes or more with central divider,junction with >4 arms,stop sign,regular licence,female
Visharant Wadi,near office complex,12pm-3pm,heavy rain,"trucks ,tempos,tracto",1-2year,rear end collision,defect in condition of motor vehicle,45-54years,9-10std,did not give right of way to vehicle,50-70,incline road,single lane,v junction,police controlled,without licence,female
