area,Typeoflocation,time,Weather,typeofvehicle,ageofvehicle,natureofaccidents,causeofaccidents,accidentvictimsage,eduofdriver,accordingtoResponsibilitiesofDriver,speed,roadconditions,roadfeature,typeofjunction,typeoftrafficcontrol,OwnerofTypeofVehiclesandTypeofLicence,Gender,area
Kapurbawdi,near or inside a village,9am-12pm,heavy rain,"trucks ,tempos,tracto",4-6year,right turn collision,fault of pedestrian,15-17years,upto 8th std,alcohol intake,30-50,Surfaced Roads,3 Lanes or more without central Divider Median,junction with >4 arms,uncontolled,others,female,Kapurbawdi
Kopri,at pedestrian crossing,9pm-12am,light rain,3 wheeler,2-4year,head on collision,poor light,45-54years,upto 8th std,did not give right of way to vehicle,50-70,straight road,3 Lanes or more without central Divider Median,manned rail crossing,uncontolled,paid driver,male,Kopri
Manpada,near school/college,9pm-12am,light rain,"trucks ,tempos,tracto",6-8year,right turn collision,weather condition,15-17years,not known,other improper passsing,<30,rutted/pot holes,4 Lanes or more with central divider,unmanned rail crossing,stop sign,owner of private vehicle,female,Manpada
Talav Pali,narrow bridge or culverts,12am-3am,fine,"trucks ,tempos,tracto",6-8year,hit and run,poor light,25-34years,9-10std,did not give right of way to pedestrian,30-50,muddy/oily/slippery,single lane,t junction,flashing signal/blinker,owner of private vehicle,female,Talav Pali
Teen Hath Naka,narrow bridge or culverts,3am-6am,heavy rain,"car/jeep/taxi,buses(4 wheeler)",<1,overturning,defect in condition of motor vehicle,18-20years,9-10std,give improper signal,50-70,muddy/oily/slippery,two lane,four arm junction,police controlled,owner of public commercial vehicle,male,Teen Hath Naka
Vartak Nagar,near a religious place,6am-9am,cloudy,"car/jeep/taxi,buses(4 wheeler)",4-6year,rear end collision,defect in road condition,<5years,not known,did not give right of way to pedestrian,50-70,Wet road,single lane,manned rail crossing,stop sign,paid driver,male,Vartak Nagar
Kopri,near bus stop,9am-12pm,heavy rain,"car/jeep/taxi,buses(4 wheeler)",8-10year,rear end collision,fault of pedestrian,55-64years,upto 8th std,passed on hill,>70,muddy/oily/slippery,single lane,unmanned rail crossing,police controlled,owner of public commercial vehicle,male,Kopri
Majiwada,near a religious place,6pm-9pm,light rain,"car/jeep/taxi,buses(4 wheeler)",2-4year,right turn collision,fault of driver,18-20years,9-10std,did not give right of way to vehicle,>70,road under construction/repair,single lane,t junction,traffic light signal,owner of public commercial vehicle,female,Majiwada
Ghodbander,near a religious place,12am-3am,heavy rain,3 wheeler,6-8year,head on collision,poor light,55-64years,upto 8th std,did not give right of way to pedestrian,50-70,Surfaced Roads,4 Lanes or more with central divider,t junction,police controlled,owner of public commercial vehicle,male,Ghodbander
Majiwada,near bus stop,9am-12pm,heavy rain,"car/jeep/taxi,buses(4 wheeler)",8-10year,right turn collision,defect in condition of motor vehicle,25-34years,above 10th std,alcohol intake,>70,road under construction/repair,4 Lanes or more with central divider,four arm junction,flashing signal/blinker,regular licence,male,Majiwada
Kapurbawdi,near hospital,9am-12pm,cloudy,2 wheeler,6-8year,rear end collision,weather condition,35-44years,above 10th std,on wrong side of the road,>70,muddy/oily/slippery,4 Lanes or more with central divider,round about junction,stop sign,owner of public commercial vehicle,female,Kapurbawdi
Kolshet Road,in bazar,9pm-12am,fine,"car/jeep/taxi,buses(4 wheeler)",2-4year,collision brush/side swip,weather condition,21-24years,not known,on wrong side of the road,30-50,straight road,4 Lanes or more with central divider,junction with >4 arms,police controlled,without licence,male,Kolshet Road
Panchpakhadi,residential area,9pm-12am,fine,"car/jeep/taxi,buses(4 wheeler)",2-4year,overturning,defect in condition of motor vehicle,unknown age,9-10std,did not give right of way to pedestrian,50-70,rutted/pot holes,two lane,round about junction,traffic light signal,learners licence,female,Panchpakhadi
Kolshet Road,near or inside a village,12pm-3pm,light rain,"car/jeep/taxi,buses(4 wheeler)",6-8year,rear end collision,weather condition,6-9years,9-10std,on wrong side of the road,50-70,road under construction/repair,4 Lanes or more with central divider,four arm junction,uncontolled,paid driver,female,Kolshet Road
Hiranandani Estate,at pedestrian crossing,9am-12pm,fine,"car/jeep/taxi,buses(4 wheeler)",4-6year,overturning,defect in condition of motor vehicle,21-24years,above 10th std,cut in sharply after passing,50-70,rutted/pot holes,two lane,junction with >4 arms,uncontolled,without licence,female,Hiranandani Estate
Vartak Nagar,near a religious place,12am-3am,light rain,3 wheeler,8-10year,head on collision,fault of driver,45-54years,upto 8th std,give improper signal,>70,road under construction/repair,single lane,junction with >4 arms,police controlled,owner of private vehicle,female,Vartak Nagar
Manpada,near or inside a village,3am-6am,fine,"trucks ,tempos,tracto",4-6year,skiding,fault of driver,<5years,not known,followed too closely,30-50,incline road,3 Lanes or more without central Divider Median,four arm junction,traffic light signal,paid driver,male,Manpada
Ghodbander,near hospital,3am-6am,heavy rain,2 wheeler,6-8year,head on collision,weather condition,45-54years,above 10th std,followed too closely,>70,muddy/oily/slippery,single lane,v junction,stop sign,without licence,female,Ghodbander
Vasant Vihar,near school/college,3am-6am,heavy rain,3 wheeler,6-8year,right turn collision,neglect of civic bodies,55-64years,9-10std,cut in sharply after passing,>70,road under construction/repair,3 Lanes or more without central Divider Median,junction with >4 arms,uncontolled,others,male,Vasant Vihar
Majiwada,near hospital,6pm-9pm,heavy rain,"trucks ,tempos,tracto",8-10year,skiding,weather condition,15-17years,9-10std,on wrong side of the road,<30,rutted/pot holes,3 Lanes or more without central Divider Median,t junction,uncontolled,learners licence,female,Majiwada
Vartak Nagar,near hospital,12pm-3pm,fine,"car/jeep/taxi,buses(4 wheeler)",2-4year,collision brush/side swip,fault of pedestrian,21-24years,not known,cut in sharply after passing,50-70,rutted/pot holes,4 Lanes or more with central divider,t junction,stop sign,learners licence,male,Vartak Nagar
Talav Pali,open area,6pm-9pm,heavy rain,"trucks ,tempos,tracto",2-4year,right turn collision,fault of driver,35-44years,not known,passed on curve,30-50,Surfaced Roads,two lane,v junction,stop sign,owner of private vehicle,female,Talav Pali
Manpada,in bazar,12pm-3pm,light rain,"car/jeep/taxi,buses(4 wheeler)",8-10year,skiding,weather condition,45-54years,upto 8th std,on wrong side of the road,50-70,speed breaker,4 Lanes or more with central divider,t junction,police controlled,owner of private vehicle,male,Manpada
Manpada,near school/college,6am-9am,heavy rain,other motor vehicles,<1,skiding,weather condition,6-9years,9-10std,cut in sharply after passing,50-70,straight road,two lane,four arm junction,flashing signal/blinker,learners licence,male,Manpada
Kolshet Road,at pedestrian crossing,12am-3am,light rain,"trucks ,tempos,tracto",6-8year,right turn collision,defect in condition of motor vehicle,unknown age,upto 8th std,alcohol intake,30-50,Wet road,two lane,t junction,police controlled,owner of private vehicle,female,Kolshet Road
Panchpakhadi,near hospital,9pm-12am,cloudy,"car/jeep/taxi,buses(4 wheeler)",4-6year,skiding,defect in road condition,35-44years,9-10std,passed on hill,30-50,muddy/oily/slippery,3 Lanes or more without central Divider Median,v junction,flashing signal/blinker,others,male,Panchpakhadi
Kolshet Road,near bus stop,6am-9am,heavy rain,3 wheeler,6-8year,overturning,defect in condition of motor vehicle,45-54years,upto 8th std,did not give right of way to vehicle,>70,incline road,two lane,unmanned rail crossing,uncontolled,paid driver,female,Kolshet Road
Hiranandani Estate,near or inside a village,9pm-12am,cloudy,"car/jeep/taxi,buses(4 wheeler)",2-4year,right turn collision,poor light,15-17years,9-10std,on wrong side of the road,>70,Kutcha Roads,single lane,round about junction,flashing signal/blinker,regular licence,male,Hiranandani Estate
Vasant Vihar,narrow bridge or culverts,12pm-3pm,light rain,3 wheeler,4-6year,collision brush/side swip,poor light,<5years,above 10th std,followed too closely,50-70,incline road,4 Lanes or more with central divider,four arm junction,uncontolled,owner of public commercial vehicle,female,Vasant Vihar
Kolshet Road,residential area,12am-3am,light rain,"trucks ,tempos,tracto",2-4year,collision brush/side swip,defect in condition of motor vehicle,35-44years,upto 8th std,passed on curve,<30,speed breaker,two lane,four arm junction,police controlled,paid driver,female,Kolshet Road
Manpada,open area,12pm-3pm,light rain,"car/jeep/taxi,buses(4 wheeler)",<1,rear end collision,neglect of civic bodies,unknown age,above 10th std,passed on curve,30-50,muddy/oily/slippery,single lane,unmanned rail crossing,flashing signal/blinker,others,male,Manpada
Kapurbawdi,near a recreation place/cinema,9pm-12am,fine,other motor vehicles,2-4year,overturning,fault of pedestrian,15-17years,above 10th std,give improper signal,>70,muddy/oily/slippery,3 Lanes or more without central Divider Median,manned rail crossing,police controlled,owner of public commercial vehicle,female,Kapurbawdi
Hiranandani Estate,near a recreation place/cinema,3am-6am,light rain,3 wheeler,8-10year,collision brush/side swip,defect in road condition,18-20years,above 10th std,passed on hill,<30,road under construction/repair,3 Lanes or more without central Divider Median,four arm junction,police controlled,without licence,male,Hiranandani Estate
Ghodbander,near bus stop,6pm-9pm,light rain,3 wheeler,<1,right turn collision,defect in road condition,unknown age,upto 8th std,passed on hill,>70,road under construction/repair,4 Lanes or more with central divider,round about junction,flashing signal/blinker,owner of private vehicle,male,Ghodbander
Kolshet Road,narrow bridge or culverts,12am-3am,heavy rain,"trucks ,tempos,tracto",1-2year,overturning,defect in road condition,18-20years,not known,failed to give signal,30-50,speed breaker,single lane,manned rail crossing,traffic light signal,learners licence,male,Kolshet Road
Teen Hath Naka,residential area,9am-12pm,heavy rain,other motor vehicles,<1,skiding,defect in condition of motor vehicle,25-34years,9-10std,passed on curve,30-50,Kutcha Roads,single lane,unmanned rail crossing,flashing signal/blinker,regular licence,male,Teen Hath Naka
Panchpakhadi,near hospital,6pm-9pm,fine,2 wheeler,4-6year,rear end collision,fault of pedestrian,18-20years,not known,followed too closely,>70,incline road,3 Lanes or more without central Divider Median,staggered jucntion,traffic light signal,without licence,female,Panchpakhadi
Kapurbawdi,at pedestrian crossing,12am-3am,fine,"trucks ,tempos,tracto",4-6year,collision brush/side swip,neglect of civic bodies,35-44years,not known,on wrong side of the road,50-70,muddy/oily/slippery,single lane,junction with >4 arms,police controlled,paid driver,female,Kapurbawdi
Teen Hath Naka,near petrol pump,3am-6am,fine,"trucks ,tempos,tracto",>10,skiding,fault of driver,21-24years,not known,followed too closely,30-50,Surfaced Roads,two lane,staggered jucntion,traffic light signal,owner of private vehicle,male,Teen Hath Naka
Majiwada,near hospital,3am-6am,heavy rain,"trucks ,tempos,tracto",4-6year,hit and run,weather condition,25-34years,above 10th std,alcohol intake,<30,muddy/oily/slippery,single lane,junction with >4 arms,flashing signal/blinker,without licence,female,Majiwada
Kapurbawdi,residential area,6pm-9pm,heavy rain,3 wheeler,8-10year,skiding,weather condition,55-64years,upto 8th std,did not give right of way to vehicle,<30,muddy/oily/slippery,two lane,manned rail crossing,flashing signal/blinker,regular licence,female,Kapurbawdi
Vartak Nagar,near office complex,6am-9am,light rain,"trucks ,tempos,tracto",>10,right turn collision,neglect of civic bodies,55-64years,upto 8th std,on wrong side of the road,30-50,Wet road,3 Lanes or more without central Divider Median,v junction,police controlled,others,female,Vartak Nagar
Eastern Express Highway,near a religious place,3pm-6pm,heavy rain,"car/jeep/taxi,buses(4 wheeler)",4-6year,hit and run,defect in condition of motor vehicle,10-14years,9-10std,did not give right of way to pedestrian,>70,Surfaced Roads,3 Lanes or more without central Divider Median,manned rail crossing,uncontolled,learners licence,male,Eastern Express Highway
Panchpakhadi,near a factory or indu. Area,9pm-12am,heavy rain,"car/jeep/taxi,buses(4 wheeler)",>10,hit and run,defect in road condition,6-9years,9-10std,failed to give signal,>70,rutted/pot holes,two lane,round about junction,police controlled,owner of public commercial vehicle,male,Panchpakhadi
Talav Pali,open area,3pm-6pm,heavy rain,2 wheeler,<1,rear end collision,weather condition,65 and above,not known,did not give right of way to pedestrian,<30,muddy/oily/slippery,4 Lanes or more with central divider,round about junction,flashing signal/blinker,regular licence,male,Talav Pali
Talav Pali,near hospital,3am-6am,cloudy,"trucks ,tempos,tracto",>10,right turn collision,fault of driver,21-24years,upto 8th std,alcohol intake,<30,Kutcha Roads,4 Lanes or more with central divider,manned rail crossing,traffic light signal,regular licence,female,Talav Pali
Vasant Vihar,near bus stop,6pm-9pm,cloudy,other motor vehicles,4-6year,head on collision,fault of driver,6-9years,not known,excceding lawful speed,>70,Kutcha Roads,two lane,manned rail crossing,uncontolled,without licence,male,Vasant Vihar
Vasant Vihar,near or inside a village,6am-9am,cloudy,"trucks ,tempos,tracto",>10,skiding,defect in road condition,55-64years,upto 8th std,followed too closely,50-70,speed breaker,3 Lanes or more without central Divider Median,junction with >4 arms,uncontolled,owner of private vehicle,female,Vasant Vihar
Panchpakhadi,in bazar,3pm-6pm,light rain,other motor vehicles,8-10year,skiding,fault of pedestrian,45-54years,upto 8th std,other improper passsing,50-70,Wet road,3 Lanes or more without central Divider Median,junction with >4 arms,flashing signal/blinker,paid driver,female,Panchpakhadi
Vasant Vihar,near a religious place,12am-3am,cloudy,2 wheeler,1-2year,skiding,defect in condition of motor vehicle,35-44years,not known,on wrong side of the road,50-70,straight road,two lane,junction with >4 arms,stop sign,others,female,Vasant Vihar
Eastern Express Highway,near a recreation place/cinema,12pm-3pm,light rain,2 wheeler,2-4year,overturning,weather condition,15-17years,upto 8th std,did not give right of way to vehicle,<30,incline road,4 Lanes or more with central divider,unmanned rail crossing,police controlled,owner of private vehicle,female,Eastern Express Highway
Teen Hath Naka,near hospital,9am-12pm,fine,"car/jeep/taxi,buses(4 wheeler)",1-2year,right turn collision,defect in road condition,55-64years,above 10th std,followed too closely,30-50,rutted/pot holes,4 Lanes or more with central divider,manned rail crossing,uncontolled,others,male,Teen Hath Naka
Kolshet Road,at pedestrian crossing,3am-6am,cloudy,2 wheeler,4-6year,collision brush/side swip,fault of driver,45-54years,above 10th std,followed too closely,50-70,straight road,single lane,staggered jucntion,police controlled,regular licence,female,Kolshet Road
Kapurbawdi,open area,12am-3am,fine,3 wheeler,<1,rear end collision,weather condition,65 and above,not known,other improper passsing,50-70,straight road,3 Lanes or more without central Divider Median,manned rail crossing,stop sign,owner of public commercial vehicle,female,Kapurbawdi
Panchpakhadi,open area,9pm-12am,heavy rain,"car/jeep/taxi,buses(4 wheeler)",6-8year,overturning,defect in road condition,65 and above,upto 8th std,cut in sharply after passing,>70,road under construction/repair,two lane,round about junction,uncontolled,paid driver,female,Panchpakhadi
Majiwada,near a recreation place/cinema,3am-6am,light rain,"trucks ,tempos,tracto",4-6year,right turn collision,neglect of civic bodies,45-54years,not known,passed on hill,50-70,Wet road,4 Lanes or more with central divider,round about junction,flashing signal/blinker,without licence,female,Majiwada
Kopri,near petrol pump,12am-3am,heavy rain,2 wheeler,1-2year,overturning,fault of driver,25-34years,not known,give improper signal,<30,rutted/pot holes,two lane,round about junction,traffic light signal,regular licence,female,Kopri
Hiranandani Estate,near a religious place,3pm-6pm,cloudy,3 wheeler,2-4year,overturning,defect in road condition,unknown age,upto 8th std,alcohol intake,>70,Wet road,4 Lanes or more with central divider,v junction,police controlled,owner of private vehicle,female,Hiranandani Estate
Manpada,near petrol pump,9am-12pm,fine,other motor vehicles,8-10year,overturning,weather condition,21-24years,upto 8th std,alcohol intake,>70,muddy/oily/slippery,3 Lanes or more without central Divider Median,junction with >4 arms,uncontolled,others,male,Manpada
Ghodbander,open area,6pm-9pm,fine,"trucks ,tempos,tracto",4-6year,hit and run,fault of driver,unknown age,above 10th std,did not give right of way to vehicle,30-50,incline road,3 Lanes or more without central Divider Median,staggered jucntion,police controlled,regular licence,female,Ghodbander
Eastern Express Highway,narrow bridge or culverts,12pm-3pm,heavy rain,"trucks ,tempos,tracto",4-6year,right turn collision,poor light,15-17years,not known,alcohol intake,30-50,Wet road,4 Lanes or more with central divider,manned rail crossing,stop sign,learners licence,male,Eastern Express Highway
Kopri,near office complex,3pm-6pm,heavy rain,"trucks ,tempos,tracto",6-8year,collision brush/side swip,fault of pedestrian,6-9years,9-10std,cut in sharply after passing,50-70,Wet road,3 Lanes or more without central Divider Median,manned rail crossing,traffic light signal,learners licence,male,Kopri
Kapurbawdi,near a recreation place/cinema,12am-3am,fine,"car/jeep/taxi,buses(4 wheeler)",8-10year,skiding,fault of driver,18-20years,not known,alcohol intake,<30,rutted/pot holes,two lane,t junction,stop sign,regular licence,female,Kapurbawdi
Panchpakhadi,in bazar,9pm-12am,fine,"trucks ,tempos,tracto",<1,head on collision,defect in road condition,65 and above,9-10std,give improper signal,50-70,Wet road,single lane,staggered jucntion,police controlled,owner of private vehicle,male,Panchpakhadi
Talav Pali,at pedestrian crossing,6am-9am,heavy rain,"car/jeep/taxi,buses(4 wheeler)",<1,head on collision,neglect of civic bodies,10-14years,upto 8th std,followed too closely,>70,Surfaced Roads,two lane,manned rail crossing,police controlled,without licence,female,Talav Pali
Majiwada,near petrol pump,12pm-3pm,heavy rain,"car/jeep/taxi,buses(4 wheeler)",1-2year,collision brush/side swip,neglect of civic bodies,65 and above,above 10th std,excceding lawful speed,<30,Kutcha Roads,single lane,four arm junction,traffic light signal,learners licence,male,Majiwada
Vasant Vihar,narrow bridge or culverts,9am-12pm,heavy rain,other motor vehicles,>10,collision brush/side swip,fault of pedestrian,<5years,9-10std,passed on curve,30-50,Wet road,3 Lanes or more without central Divider Median,manned rail crossing,stop sign,paid driver,female,Vasant Vihar
Vartak Nagar,narrow bridge or culverts,3am-6am,light rain,"trucks ,tempos,tracto",2-4year,right turn collision,defect in road condition,65 and above,9-10std,did not give right of way to vehicle,50-70,Kutcha Roads,single lane,manned rail crossing,police controlled,owner of private vehicle,female,Vartak Nagar
Kapurbawdi,near or inside a village,9am-12pm,light rain,"trucks ,tempos,tracto",>10,head on collision,defect in condition of motor vehicle,<5years,not known,did not give right of way to vehicle,30-50,Wet road,3 Lanes or more without central Divider Median,round about junction,stop sign,owner of private vehicle,female,Kapurbawdi
Vasant Vihar,open area,9am-12pm,fine,"car/jeep/taxi,buses(4 wheeler)",<1,overturning,weather condition,55-64years,not known,did not give right of way to vehicle,50-70,Wet road,two lane,staggered jucntion,police controlled,regular licence,male,Vasant Vihar
Kopri,near a recreation place/cinema,12pm-3pm,fine,3 wheeler,2-4year,collision brush/side swip,fault of driver,15-17years,9-10std,did not give right of way to pedestrian,30-50,incline road,two lane,staggered jucntion,uncontolled,without licence,male,Kopri
Panchpakhadi,near office complex,3pm-6pm,fine,2 wheeler,4-6year,overturning,weather condition,10-14years,not known,passed on hill,30-50,muddy/oily/slippery,two lane,four arm junction,uncontolled,owner of public commercial vehicle,male,Panchpakhadi
Teen Hath Naka,at pedestrian crossing,6pm-9pm,heavy rain,2 wheeler,1-2year,hit and run,fault of pedestrian,unknown age,not known,followed too closely,30-50,straight road,single lane,round about junction,flashing signal/blinker,others,male,Teen Hath Naka
Vartak Nagar,in bazar,3am-6am,fine,2 wheeler,2-4year,rear end collision,defect in condition of motor vehicle,45-54years,above 10th std,passed on hill,>70,incline road,two lane,junction with >4 arms,uncontolled,others,male,Vartak Nagar
Kopri,near school/college,3am-6am,heavy rain,"car/jeep/taxi,buses(4 wheeler)",6-8year,collision brush/side swip,poor light,18-20years,upto 8th std,excceding lawful speed,30-50,road under construction/repair,4 Lanes or more with central divider,four arm junction,uncontolled,paid driver,male,Kopri
Talav Pali,narrow bridge or culverts,12pm-3pm,fine,3 wheeler,1-2year,hit and run,neglect of civic bodies,25-34years,above 10th std,alcohol intake,<30,muddy/oily/slippery,4 Lanes or more with central divider,t junction,stop sign,without licence,male,Talav Pali
Talav Pali,at pedestrian crossing,6am-9am,fine,2 wheeler,4-6year,head on collision,poor light,6-9years,9-10std,give improper signal,50-70,rutted/pot holes,single lane,manned rail crossing,uncontolled,owner of public commercial vehicle,female,Talav Pali
Dhokali,at pedestrian crossing,12pm-3pm,cloudy,"car/jeep/taxi,buses(4 wheeler)",6-8year,collision brush/side swip,fault of driver,35-44years,upto 8th std,did not give right of way to pedestrian,<30,straight road,4 Lanes or more with central divider,round about junction,traffic light signal,without licence,male,Dhokali
Panchpakhadi,near petrol pump,3pm-6pm,light rain,"car/jeep/taxi,buses(4 wheeler)",6-8year,overturning,poor light,18-20years,9-10std,give improper signal,30-50,Kutcha Roads,single lane,t junction,traffic light signal,owner of private vehicle,female,Panchpakhadi
Dhokali,residential area,12am-3am,cloudy,2 wheeler,2-4year,overturning,fault of pedestrian,<5years,9-10std,cut in sharply after passing,30-50,incline road,two lane,staggered jucntion,uncontolled,owner of public commercial vehicle,female,Dhokali
Dhokali,residential area,9pm-12am,light rain,"car/jeep/taxi,buses(4 wheeler)",1-2year,head on collision,fault of driver,unknown age,not known,cut in sharply after passing,30-50,rutted/pot holes,4 Lanes or more with central divider,staggered jucntion,uncontolled,paid driver,male,Dhokali
Panchpakhadi,near a factory or indu. Area,6am-9am,heavy rain,"car/jeep/taxi,buses(4 wheeler)",>10,hit and run,defect in condition of motor vehicle,6-9years,not known,failed to give signal,50-70,speed breaker,3 Lanes or more without central Divider Median,v junction,police controlled,without licence,male,Panchpakhadi
Panchpakhadi,near a factory or indu. Area,9pm-12am,fine,3 wheeler,>10,hit and run,weather condition,15-17years,above 10th std,cut in sharply after passing,50-70,straight road,4 Lanes or more with central divider,four arm junction,police controlled,regular licence,female,Panchpakhadi
Panchpakhadi,narrow bridge or culverts,3pm-6pm,heavy rain,"trucks ,tempos,tracto",4-6year,collision brush/side swip,fault of pedestrian,10-14years,upto 8th std,give improper signal,>70,straight road,3 Lanes or more without central Divider Median,round about junction,stop sign,without licence,male,Panchpakhadi
Talav Pali,residential area,9pm-12am,fine,other motor vehicles,2-4year,overturning,fault of driver,6-9years,above 10th std,alcohol intake,<30,straight road,single lane,staggered jucntion,flashing signal/blinker,regular licence,male,Talav Pali
